X,Y,IcePicks,Joughin,Mankoff,GrnlndcNam,Official,AltName,RefName,Count
-225073.061071103,-2813982.2237083,274,208,270,Akullersuup Sermia,Akullersuup Sermia,Akugdlerssup Sermia,Akullersuup Sermia,0
-239827.291950789,-2781012.89646363,275,209,262,Narsap Sermia,Narsap Sermia,Narssap Sermia,Narsap Sermia,0
-213142.174220416,-2304232.69927088,276,1,195,Saqqarliup Sermia,Saqqarliup Sermia,Sarqardliup Sermia,Saqqarliup Sermia,0
-209590.229801261,-2296582.35785868,277,2,None,Alanngorliup Sermia,Alanngorliup Sermia,Alangordliup Sermia,Alanngorliup Sermia,0
-192012.658608461,-2271354.44629214,278,3,184,Sermeq Kujalleq,Sermeq Kujalleq,Jakobshavn Isbræ,Jakobshavn Isbræ,0
-207768.720100685,-2247856.96886826,279,4,182,Sermeq Avannarleq,Sermeq Avannarleq,Sermeq Avannarleq A,Sermeq Avannarleq A,0
-198752.245933726,-2200497.71213853,280,5,180,Eqip Sermia,Eqip Sermia,,Eqip Sermia,0
-205036.455449808,-2189477.57732846,281,6,177,Kangilernata Sermia,Kangilernata Sermia,Kangilerngata Sermia,Kangilernata Sermia,0
-197568.264555033,-2179277.12203073,282,7,169,Sermeq Kujalleq,Sermeq Kujalleq,Alianaatsup Sermia,Alianaatsup Sermia,0
-201575.586572013,-2171262.47852371,283,8,167,Sermeq Avannarleq,Sermeq Avannarleq,Sermeq Avangnardleq B,Sermeq Avangnardleq B,0
-208224.098231803,-2134650.12977514,284,9,165,Sermeq Kujalleq,Sermeq Kujalleq,Store Gletsjer,Store Gletsjer,0
-203761.398846523,-2117710.08782319,285,10,162,Sermeq Avannarleq,Sermeq Avannarleq,Lille Gletsjer,Lille Gletsjer,0
-205856.135399186,-2105961.34900939,286,11,161,Sermilik,Sermilik,Sermilik Isbræ,Sermilik Isbræ,0
-206493.663944544,-2096944.87503417,287,12,157,Kangilleq,Kangilleq,Kangilleq Kangigdleq Isbræ,Kangilleq Kangigdleq Isbræ,0
-212686.797964508,-2088292.70300181,288,13,155,Sermeq Silarleq,Sermeq Silarleq,Sermeq Silardleq,Sermeq Silarleq,0
-213051.100078145,-2067254.26369542,289,14,153,Perlerfiup Sermia,Perlerfiup Sermia,Perdlerfiup Sermia,Perlerfiup Sermia,0
-229991.143193262,-2036561.8217863,290,15,None,Kangerluarsuup Sermia,Kangerluarsuup Sermia,Kangerdluarssup Sermia,Kangerluarsuup Sermia,0
-222887.25434496,-2013337.57055711,291,16,145,Kangerlussuup Sermia,Kangerlussuup Sermia,Kangerdlugssup Sermerssua,Kangerlussuup Sermia,0
